epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2415,2.17065,2.35584,2.06019,0.55132,0.4232,0.43858,0.19729,2.03115,1.49591,2.04537,0.000206522,0.000206522,0.000206522
2,89.3282,2.10613,1.97515,1.97618,0.78407,0.38003,0.44122,0.20281,2.04883,1.58012,2.01845,0.000406641,0.000406641,0.000406641
3,134.914,2.13986,1.98624,1.98838,0.74147,0.40934,0.44701,0.20066,2.0013,1.64105,2.02601,0.00059851,0.00059851,0.00059851
4,180.132,2.08025,1.92652,1.96334,0.46942,0.42063,0.4257,0.19918,2.04932,1.81174,2.02624,0.000587875,0.000587875,0.000587875
5,225.355,2.07683,1.95532,1.97139,0.61209,0.40499,0.44765,0.20891,1.97934,1.52047,1.96518,0.0005755,0.0005755,0.0005755
6,270.312,2.03398,1.83311,1.90216,0.81341,0.4129,0.48794,0.23616,1.90834,1.37052,1.88743,0.000563125,0.000563125,0.000563125
7,315.762,2.009,1.79364,1.90137,0.53942,0.45365,0.48412,0.23165,1.92269,1.41601,1.90941,0.00055075,0.00055075,0.00055075
8,360.671,1.98514,1.76863,1.88846,0.73114,0.47051,0.51223,0.24387,1.88522,1.29957,1.87351,0.000538375,0.000538375,0.000538375
9,405.943,1.93223,1.67368,1.85449,0.61341,0.45166,0.50558,0.24783,1.89101,1.25254,1.87699,0.000526,0.000526,0.000526
10,451.448,1.91783,1.67671,1.84418,0.85875,0.43201,0.52801,0.25618,1.85233,1.30217,1.84809,0.000513625,0.000513625,0.000513625
11,496.533,1.87757,1.62852,1.81058,0.66177,0.46148,0.51668,0.25273,1.871,1.2537,1.85987,0.00050125,0.00050125,0.00050125
12,541.596,1.89411,1.63605,1.82872,0.54474,0.51229,0.53589,0.25915,1.89035,1.22337,1.87967,0.000488875,0.000488875,0.000488875
13,586.91,1.84496,1.56529,1.78417,0.67216,0.52632,0.55415,0.27106,1.81577,1.18438,1.81851,0.0004765,0.0004765,0.0004765
14,632.249,1.84606,1.58682,1.79828,0.63045,0.51541,0.54732,0.27213,1.83101,1.16744,1.84919,0.000464125,0.000464125,0.000464125
15,677.568,1.824,1.54171,1.77491,0.63051,0.51115,0.54448,0.27114,1.82996,1.19227,1.81434,0.00045175,0.00045175,0.00045175
16,722.768,1.78216,1.46055,1.72905,0.68733,0.53554,0.57755,0.27911,1.82024,1.14208,1.80891,0.000439375,0.000439375,0.000439375
17,768.216,1.79129,1.50258,1.75197,0.62109,0.53558,0.55854,0.2768,1.81313,1.1445,1.83344,0.000427,0.000427,0.000427
18,813.145,1.77303,1.47271,1.737,0.63744,0.52954,0.55528,0.27893,1.80616,1.10981,1.81675,0.000414625,0.000414625,0.000414625
19,858.383,1.75883,1.44529,1.72925,0.70562,0.50348,0.54949,0.27684,1.81543,1.13842,1.82289,0.00040225,0.00040225,0.00040225
20,903.572,1.72712,1.4026,1.70481,0.68381,0.53626,0.56452,0.28138,1.84075,1.10682,1.85081,0.000389875,0.000389875,0.000389875
21,948.734,1.72461,1.38744,1.71402,0.60058,0.51613,0.5511,0.27606,1.81679,1.09434,1.82756,0.0003775,0.0003775,0.0003775
22,993.97,1.68533,1.33526,1.67056,0.6497,0.56691,0.57187,0.28393,1.79806,1.09262,1.81916,0.000365125,0.000365125,0.000365125
23,1039.09,1.67631,1.31365,1.67001,0.67304,0.53342,0.57225,0.28733,1.8071,1.06659,1.81594,0.00035275,0.00035275,0.00035275
24,1084.36,1.66346,1.31349,1.66323,0.73029,0.52164,0.55233,0.2788,1.81154,1.0849,1.82785,0.000340375,0.000340375,0.000340375
25,1129.48,1.65729,1.32557,1.66404,0.61011,0.52445,0.56432,0.28487,1.80927,1.07097,1.82406,0.000328,0.000328,0.000328
26,1174.63,1.646,1.29405,1.64438,0.67685,0.521,0.56774,0.28573,1.81288,1.0582,1.82195,0.000315625,0.000315625,0.000315625
27,1219.94,1.64255,1.28534,1.6414,0.60892,0.55667,0.56808,0.28867,1.80647,1.0699,1.82294,0.00030325,0.00030325,0.00030325
28,1265.19,1.61025,1.25302,1.62364,0.57624,0.54564,0.55581,0.2865,1.83897,1.06399,1.86062,0.000290875,0.000290875,0.000290875
29,1310.33,1.5798,1.22566,1.5965,0.62763,0.57974,0.58357,0.29236,1.80512,1.04565,1.82591,0.0002785,0.0002785,0.0002785
30,1355.37,1.56048,1.19812,1.58793,0.64423,0.54277,0.56832,0.29163,1.81169,1.06382,1.83632,0.000266125,0.000266125,0.000266125
31,1400.46,1.5376,1.17261,1.57928,0.55,0.56019,0.56304,0.28469,1.81815,1.05746,1.84095,0.00025375,0.00025375,0.00025375
32,1445.44,1.5455,1.17378,1.58714,0.58353,0.55593,0.56238,0.28891,1.82331,1.05961,1.86006,0.000241375,0.000241375,0.000241375
33,1490.47,1.51987,1.1632,1.56659,0.62344,0.54543,0.56328,0.2893,1.8098,1.0443,1.86105,0.000229,0.000229,0.000229
34,1535.6,1.4981,1.13558,1.54907,0.64248,0.53297,0.56999,0.29049,1.8153,1.02367,1.85623,0.000216625,0.000216625,0.000216625
35,1580.47,1.47615,1.10328,1.5278,0.69886,0.54913,0.57422,0.29252,1.81174,1.04032,1.83741,0.00020425,0.00020425,0.00020425
36,1625.55,1.46882,1.10039,1.52816,0.62017,0.5436,0.56891,0.28818,1.83046,1.01165,1.87185,0.000191875,0.000191875,0.000191875
37,1670.8,1.43227,1.06765,1.50827,0.6858,0.54367,0.55916,0.28866,1.82989,1.04122,1.87843,0.0001795,0.0001795,0.0001795
38,1715.73,1.42179,1.07945,1.50195,0.62007,0.55008,0.56045,0.28792,1.8459,1.03733,1.91093,0.000167125,0.000167125,0.000167125
39,1760.74,1.40499,1.04166,1.4875,0.60042,0.54644,0.55786,0.28865,1.83397,1.02034,1.89691,0.00015475,0.00015475,0.00015475
40,1805.88,1.41205,1.04429,1.4882,0.64648,0.54271,0.57178,0.28789,1.84123,1.03302,1.88429,0.000142375,0.000142375,0.000142375
